,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,,Team,Start Date,End Date
2304,TG Southee,3,3,21.5,0,150,2,1/46,75.0,6.87,65.5,0,0,,New Zealand,2019-01-01,2019-02-01
2305,TD Astle,1,1,2.0,0,9,1,1/9,9.0,4.5,12.0,0,0,,New Zealand,2019-01-01,2019-02-01
2306,DAJ Bracewell,3,3,23.0,0,131,1,1/23,131.0,5.69,138.0,0,0,,New Zealand,2019-01-01,2019-02-01
2307,MJ Santner,3,2,17.0,0,77,1,1/45,77.0,4.52,102.0,0,0,,New Zealand,2019-01-01,2019-02-01
2308,C Munro,6,2,3.0,0,24,0,,,8.0,,0,0,,New Zealand,2019-01-01,2019-02-01
2309,KS Williamson,7,2,7.0,0,32,0,,,4.57,,0,0,,New Zealand,2019-01-01,2019-02-01
2310,MJ Guptill,7,,,,,,,,,,,,,New Zealand,2019-01-01,2019-02-01
2311,TWM Latham,4,,,,,,,,,,,,,New Zealand,2019-01-01,2019-02-01
2312,HM Nicholls,7,,,,,,,,,,,,,New Zealand,2019-01-01,2019-02-01
2313,TL Seifert,3,,,,,,,,,,,,,New Zealand,2019-01-01,2019-02-01
2314,LRPL Taylor,7,,,,,,,,,,,,,New Zealand,2019-01-01,2019-02-01
2315,JA Richardson,3,3,30.0,3,112,6,4/26,18.66,3.73,30.0,1,0,,Australia,2019-01-01,2019-02-01
2316,MP Stoinis,3,3,28.2,0,172,4,2/66,43.0,6.07,42.5,0,0,,Australia,2019-01-01,2019-02-01
2317,JP Behrendorff,2,2,18.2,3,91,3,2/39,30.33,4.96,36.6,0,0,,Australia,2019-01-01,2019-02-01
2318,PM Siddle,3,3,25.0,1,162,2,1/48,81.0,6.48,75.0,0,0,,Australia,2019-01-01,2019-02-01
2319,GJ Maxwell,3,3,7.0,0,41,1,1/16,41.0,5.85,42.0,0,0,,Australia,2019-01-01,2019-02-01
2320,NM Lyon,2,2,20.0,1,109,0,,,5.45,,0,0,,Australia,2019-01-01,2019-02-01
2321,B Stanlake,1,1,10.0,0,49,0,,,4.9,,0,0,,Australia,2019-01-01,2019-02-01
2322,A Zampa,1,1,10.0,0,34,0,,,3.4,,0,0,,Australia,2019-01-01,2019-02-01
2323,AT Carey,3,,,,,,,,,,,,,Australia,2019-01-01,2019-02-01
2324,AJ Finch,3,,,,,,,,,,,,,Australia,2019-01-01,2019-02-01
2325,PSP Handscomb,3,,,,,,,,,,,,,Australia,2019-01-01,2019-02-01
2326,UT Khawaja,3,,,,,,,,,,,,,Australia,2019-01-01,2019-02-01
2327,SE Marsh,3,,,,,,,,,,,,,Australia,2019-01-01,2019-02-01
2328,AL Phehlukwayo,5,5,38.2,2,195,8,4/22,24.37,5.08,28.7,1,0,,South Africa,2019-01-01,2019-02-01
2329,K Rabada,5,5,43.1,3,215,5,2/35,43.0,4.98,51.8,0,0,,South Africa,2019-01-01,2019-02-01
2330,T Shamsi,2,2,19.0,0,131,4,3/56,32.75,6.89,28.5,0,0,,South Africa,2019-01-01,2019-02-01
2331,D Olivier,2,2,19.0,0,124,3,2/73,41.33,6.52,38.0,0,0,,South Africa,2019-01-01,2019-02-01
2332,DW Steyn,3,3,23.0,0,120,3,2/43,40.0,5.21,46.0,0,0,,South Africa,2019-01-01,2019-02-01
2333,Imran Tahir,3,3,30.0,1,131,2,1/44,65.5,4.36,90.0,0,0,,South Africa,2019-01-01,2019-02-01
2334,D Pretorius,2,2,20.0,1,88,2,2/46,44.0,4.4,60.0,0,0,,South Africa,2019-01-01,2019-02-01
2335,BE Hendricks,2,2,16.0,0,81,1,1/50,81.0,5.06,96.0,0,0,,South Africa,2019-01-01,2019-02-01
2336,RR Hendricks,5,3,7.0,0,47,1,1/13,47.0,6.71,42.0,0,0,,South Africa,2019-01-01,2019-02-01
2337,PWA Mulder,1,1,3.0,0,20,1,1/20,20.0,6.66,18.0,0,0,,South Africa,2019-01-01,2019-02-01
2338,D Paterson,1,1,8.0,1,37,0,,,4.62,,0,0,,South Africa,2019-01-01,2019-02-01
2339,HM Amla,5,,,,,,,,,,,,,South Africa,2019-01-01,2019-02-01
2340,Q de Kock,3,,,,,,,,,,,,,South Africa,2019-01-01,2019-02-01
2341,F du Plessis,5,,,,,,,,,,,,,South Africa,2019-01-01,2019-02-01
2342,H Klaasen,2,,,,,,,,,,,,,South Africa,2019-01-01,2019-02-01
2343,DA Miller,4,,,,,,,,,,,,,South Africa,2019-01-01,2019-02-01
2344,HE van der Dussen,5,,,,,,,,,,,,,South Africa,2019-01-01,2019-02-01
2345,YS Chahal,1,1,10.0,0,41,3,3/41,13.66,4.1,20.0,0,0,,India,2019-02-01,2019-03-01
2346,Mohammed Shami,1,1,8.0,0,35,2,2/35,17.5,4.37,24.0,0,0,,India,2019-02-01,2019-03-01
2347,HH Pandya,1,1,8.0,1,50,2,2/50,25.0,6.25,24.0,0,0,,India,2019-02-01,2019-03-01
2348,KM Jadhav,1,1,7.0,0,34,1,1/34,34.0,4.85,42.0,0,0,,India,2019-02-01,2019-03-01
2349,B Kumar,1,1,7.1,0,38,1,1/38,38.0,5.3,43.0,0,0,,India,2019-02-01,2019-03-01
2350,V Shankar,1,1,4.0,0,19,0,,,4.75,,0,0,,India,2019-02-01,2019-03-01
2351,S Dhawan,1,,,,,,,,,,,,,India,2019-02-01,2019-03-01
2352,MS Dhoni,1,,,,,,,,,,,,,India,2019-02-01,2019-03-01
2353,AT Rayudu,1,,,,,,,,,,,,,India,2019-02-01,2019-03-01
2354,RG Sharma,1,,,,,,,,,,,,,India,2019-02-01,2019-03-01
2355,Shubman Gill,1,,,,,,,,,,,,,India,2019-02-01,2019-03-01
2356,Mustafizur Rahman,3,3,27.0,0,171,4,2/42,42.75,6.33,40.5,0,0,,Bangladesh,2019-02-01,2019-03-01
2357,Mehidy Hasan Miraz,3,3,24.1,1,127,2,1/42,63.5,5.25,72.5,0,0,,Bangladesh,2019-02-01,2019-03-01
2358,Mahmudullah,3,3,10.0,0,80,1,1/27,80.0,8.0,60.0,0,0,,Bangladesh,2019-02-01,2019-03-01
2359,Mashrafe Mortaza,3,3,24.3,1,121,1,1/51,121.0,4.93,147.0,0,0,,Bangladesh,2019-02-01,2019-03-01
2360,Mohammad Saifuddin,3,3,23.0,0,135,1,1/48,135.0,5.86,138.0,0,0,,Bangladesh,2019-02-01,2019-03-01
2361,Rubel Hossain,1,1,9.0,0,64,1,1/64,64.0,7.11,54.0,0,0,,Bangladesh,2019-02-01,2019-03-01
2362,Sabbir Rahman,3,2,11.0,0,69,0,,,6.27,,0,0,,Bangladesh,2019-02-01,2019-03-01
2363,Soumya Sarkar,3,2,2.0,0,18,0,,,9.0,,0,0,,Bangladesh,2019-02-01,2019-03-01
2364,Litton Das,3,,,,,,,,,,,,,Bangladesh,2019-02-01,2019-03-01
2365,Mohammad Mithun,2,,,,,,,,,,,,,Bangladesh,2019-02-01,2019-03-01
2366,Mushfiqur Rahim,3,,,,,,,,,,,,,Bangladesh,2019-02-01,2019-03-01
2367,Tamim Iqbal,3,,,,,,,,,,,,,Bangladesh,2019-02-01,2019-03-01
2368,TA Boult,4,4,38.4,4,165,9,3/39,18.33,4.26,25.7,0,0,,New Zealand,2019-02-01,2019-03-01
2369,MJ Henry,3,3,29.0,4,113,7,4/35,16.14,3.89,24.8,1,0,,New Zealand,2019-02-01,2019-03-01
2370,TG Southee,1,1,9.2,1,65,6,6/65,10.83,6.96,9.3,0,1,,New Zealand,2019-02-01,2019-03-01
2371,LH Ferguson,3,3,30.0,1,137,5,3/43,27.4,4.56,36.0,0,0,,New Zealand,2019-02-01,2019-03-01
2372,JDS Neesham,4,4,21.4,0,104,3,2/21,34.66,4.8,43.3,0,0,,New Zealand,2019-02-01,2019-03-01
2373,MJ Santner,3,3,21.0,2,109,3,3/45,36.33,5.19,42.0,0,0,,New Zealand,2019-02-01,2019-03-01
2374,TD Astle,2,2,15.0,0,87,2,2/52,43.5,5.8,45.0,0,0,,New Zealand,2019-02-01,2019-03-01
2375,C de Grandhomme,4,4,21.0,0,95,2,1/18,47.5,4.52,63.0,0,0,,New Zealand,2019-02-01,2019-03-01
2376,C Munro,2,1,10.0,0,47,0,,,4.7,,0,0,,New Zealand,2019-02-01,2019-03-01
2377,MJ Guptill,3,,,,,,,,,,,,,New Zealand,2019-02-01,2019-03-01
2378,TWM Latham,4,,,,,,,,,,,,,New Zealand,2019-02-01,2019-03-01
2379,HM Nicholls,4,,,,,,,,,,,,,New Zealand,2019-02-01,2019-03-01
2380,LRPL Taylor,4,,,,,,,,,,,,,New Zealand,2019-02-01,2019-03-01
2381,KS Williamson,3,,,,,,,,,,,,,New Zealand,2019-02-01,2019-03-01
2382,AU Rashid,4,3,25.0,0,187,9,5/85,20.77,7.48,16.6,0,1,,England,2019-02-01,2019-03-01
2383,BA Stokes,3,3,26.0,1,176,5,3/37,35.2,6.76,31.2,0,0,,England,2019-02-01,2019-03-01
2384,MA Wood,4,3,27.0,0,147,5,4/60,29.4,5.44,32.4,1,0,,England,2019-02-01,2019-03-01
2385,CR Woakes,3,2,20.0,0,150,2,2/59,75.0,7.5,60.0,0,0,,England,2019-02-01,2019-03-01
2386,LE Plunkett,4,3,21.0,0,133,1,1/39,133.0,6.33,126.0,0,0,,England,2019-02-01,2019-03-01
2387,MM Ali,4,3,19.0,0,167,0,,,8.78,,0,0,,England,2019-02-01,2019-03-01
2388,TK Curran,1,1,10.0,0,62,0,,,6.2,,0,0,,England,2019-02-01,2019-03-01
2389,JM Bairstow,4,,,,,,,,,,,,,England,2019-02-01,2019-03-01
2390,JC Buttler,4,,,,,,,,,,,,,England,2019-02-01,2019-03-01
2391,AD Hales,2,,,,,,,,,,,,,England,2019-02-01,2019-03-01
2392,EJG Morgan,4,,,,,,,,,,,,,England,2019-02-01,2019-03-01
2393,JE Root,4,,,,,,,,,,,,,England,2019-02-01,2019-03-01
2394,JJ Roy,3,,,,,,,,,,,,,England,2019-02-01,2019-03-01
2395,Dawlat Zadran,1,1,10.0,2,35,3,3/35,11.66,3.5,20.0,0,0,,Afghanistan,2019-02-01,2019-03-01
2396,Mujeeb Ur Rahman,1,1,10.0,3,14,3,3/14,4.66,1.4,20.0,0,0,,Afghanistan,2019-02-01,2019-03-01
2397,Gulbadin Naib,1,1,7.2,0,20,2,2/20,10.0,2.72,22.0,0,0,,Afghanistan,2019-02-01,2019-03-01
2398,Mohammad Nabi,1,1,10.0,0,52,1,1/52,52.0,5.2,60.0,0,0,,Afghanistan,2019-02-01,2019-03-01
2399,Rashid Khan,1,1,10.0,0,30,1,1/30,30.0,3.0,60.0,0,0,,Afghanistan,2019-02-01,2019-03-01
2400,Rahmat Shah,1,1,2.0,0,10,0,,,5.0,,0,0,,Afghanistan,2019-02-01,2019-03-01
2401,Asghar Afghan,1,,,,,,,,,,,,,Afghanistan,2019-02-01,2019-03-01
2402,Hashmatullah Shahidi,1,,,,,,,,,,,,,Afghanistan,2019-02-01,2019-03-01
2403,Hazratullah Zazai,1,,,,,,,,,,,,,Afghanistan,2019-02-01,2019-03-01
2404,Mohammad Shahzad,1,,,,,,,,,,,,,Afghanistan,2019-02-01,2019-03-01
2405,Najibullah Zadran,1,,,,,,,,,,,,,Afghanistan,2019-02-01,2019-03-01
2406,Kuldeep Yadav,5,5,50.0,0,302,10,3/54,30.2,6.04,30.0,0,0,,India,2019-03-01,2019-04-01
2407,JJ Bumrah,5,5,48.5,0,244,7,3/63,34.85,4.99,41.8,0,0,,India,2019-03-01,2019-04-01
2408,Mohammed Shami,4,4,39.0,2,213,5,2/44,42.6,5.46,46.8,0,0,,India,2019-03-01,2019-04-01
2409,B Kumar,2,2,19.0,0,115,4,3/48,28.75,6.05,28.5,0,0,,India,2019-03-01,2019-04-01
2410,RA Jadeja,4,4,40.0,0,190,3,2/45,63.33,4.75,80.0,0,0,,India,2019-03-01,2019-04-01
2411,KM Jadhav,5,5,23.0,0,148,2,1/31,74.0,6.43,69.0,0,0,,India,2019-03-01,2019-04-01
2412,V Shankar,5,4,17.3,0,110,2,2/15,55.0,6.28,52.5,0,0,,India,2019-03-01,2019-04-01
2413,YS Chahal,1,1,10.0,0,80,1,1/80,80.0,8.0,60.0,0,0,,India,2019-03-01,2019-04-01
2414,S Dhawan,5,,,,,,,,,,,,,India,2019-03-01,2019-04-01
2415,MS Dhoni,3,,,,,,,,,,,,,India,2019-03-01,2019-04-01
2416,V Kohli,5,,,,,,,,,,,,,India,2019-03-01,2019-04-01
2417,RR Pant,2,,,,,,,,,,,,,India,2019-03-01,2019-04-01
2418,KL Rahul,1,,,,,,,,,,,,,India,2019-03-01,2019-04-01
2419,AT Rayudu,3,,,,,,,,,,,,,India,2019-03-01,2019-04-01
2420,RG Sharma,5,,,,,,,,,,,,,India,2019-03-01,2019-04-01
2421,Usman Shinwari,3,3,29.0,2,139,5,4/49,27.8,4.79,34.8,1,0,,Pakistan,2019-03-01,2019-04-01
2422,Junaid Khan,3,3,28.0,1,178,4,3/73,44.5,6.35,42.0,0,0,,Pakistan,2019-03-01,2019-04-01
2423,Yasir Shah,5,5,50.0,1,283,4,2/57,70.75,5.66,75.0,0,0,,Pakistan,2019-03-01,2019-04-01
2424,Imad Wasim,5,5,47.0,3,251,3,2/56,83.66,5.34,94.0,0,0,,Pakistan,2019-03-01,2019-04-01
2425,Mohammad Hasnain,3,3,23.0,0,156,2,2/52,78.0,6.78,69.0,0,0,,Pakistan,2019-03-01,2019-04-01
2426,Faheem Ashraf,2,2,18.5,0,95,1,1/50,95.0,5.04,113.0,0,0,,Pakistan,2019-03-01,2019-04-01
2427,Haris Sohail,5,4,14.0,0,75,1,1/35,75.0,5.35,84.0,0,0,,Pakistan,2019-03-01,2019-04-01
2428,Mohammad Abbas,3,3,27.0,0,153,1,1/44,153.0,5.66,162.0,0,0,,Pakistan,2019-03-01,2019-04-01
2429,Mohammad Amir,1,1,9.0,0,59,0,,,6.55,,0,0,,Pakistan,2019-03-01,2019-04-01
2430,Shoaib Malik,3,1,1.0,0,10,0,,,10.0,,0,0,,Pakistan,2019-03-01,2019-04-01
2431,Abid Ali,2,,,,,,,,,,,,,Pakistan,2019-03-01,2019-04-01
2432,Imam-ul-Haq,3,,,,,,,,,,,,,Pakistan,2019-03-01,2019-04-01
2433,Mohammad Rizwan,5,,,,,,,,,,,,,Pakistan,2019-03-01,2019-04-01
2434,Saad Ali,2,,,,,,,,,,,,,Pakistan,2019-03-01,2019-04-01
2435,Shan Masood,5,,,,,,,,,,,,,Pakistan,2019-03-01,2019-04-01
2436,Umar Akmal,5,,,,,,,,,,,,,Pakistan,2019-03-01,2019-04-01
2437,MA Wood,1,1,6.0,0,55,2,2/55,27.5,9.16,18.0,0,0,,England,2019-03-01,2019-04-01
2438,CR Woakes,1,1,6.0,0,56,1,1/56,56.0,9.33,36.0,0,0,,England,2019-03-01,2019-04-01
2439,TK Curran,1,1,0.1,0,4,0,,,24.0,,0,0,,England,2019-03-01,2019-04-01
2440,MM Ali,1,,,,,,,,,,,,,England,2019-03-01,2019-04-01
2441,JM Bairstow,1,,,,,,,,,,,,,England,2019-03-01,2019-04-01
2442,JC Buttler,1,,,,,,,,,,,,,England,2019-03-01,2019-04-01
2443,AD Hales,1,,,,,,,,,,,,,England,2019-03-01,2019-04-01
2444,EJG Morgan,1,,,,,,,,,,,,,England,2019-03-01,2019-04-01
2445,AU Rashid,1,,,,,,,,,,,,,England,2019-03-01,2019-04-01
2446,JE Root,1,,,,,,,,,,,,,England,2019-03-01,2019-04-01
2447,BA Stokes,1,,,,,,,,,,,,,England,2019-03-01,2019-04-01
2448,A Zampa,10,10,98.4,2,545,18,4/43,30.27,5.52,32.8,1,0,,Australia,2019-03-01,2019-04-01
2449,PJ Cummins,6,6,55.2,5,243,17,5/70,14.29,4.39,19.5,1,1,,Australia,2019-03-01,2019-04-01
2450,JA Richardson,5,5,41.0,5,249,11,3/37,22.63,6.07,22.3,0,0,,Australia,2019-03-01,2019-04-01
2451,NM Coulter-Nile,5,5,44.2,3,264,10,3/53,26.4,5.95,26.6,0,0,,Australia,2019-03-01,2019-04-01
2452,NM Lyon,8,8,80.0,1,382,8,1/34,47.75,4.77,60.0,0,0,,Australia,2019-03-01,2019-04-01
2453,JP Behrendorff,4,4,36.0,2,199,4,3/63,49.75,5.52,54.0,0,0,,Australia,2019-03-01,2019-04-01
2454,GJ Maxwell,10,9,64.0,1,345,4,1/21,86.25,5.39,96.0,0,0,,Australia,2019-03-01,2019-04-01
2455,MP Stoinis,9,9,38.2,0,249,4,2/20,62.25,6.49,57.5,0,0,,Australia,2019-03-01,2019-04-01
2456,KW Richardson,2,2,17.0,0,98,2,1/37,49.0,5.76,51.0,0,0,,Australia,2019-03-01,2019-04-01
2457,AJ Finch,10,3,15.0,0,82,1,1/41,82.0,5.46,90.0,0,0,,Australia,2019-03-01,2019-04-01
2458,AT Carey,10,,,,,,,,,,,,,Australia,2019-03-01,2019-04-01
2459,PSP Handscomb,10,,,,,,,,,,,,,Australia,2019-03-01,2019-04-01
2460,UT Khawaja,10,,,,,,,,,,,,,Australia,2019-03-01,2019-04-01
2461,SE Marsh,8,,,,,,,,,,,,,Australia,2019-03-01,2019-04-01
2462,AJ Turner,3,,,,,,,,,,,,,Australia,2019-03-01,2019-04-01
2463,Aftab Alam,1,1,8.0,2,25,4,4/25,6.25,3.12,12.0,1,0,,Afghanistan,2019-03-01,2019-04-01
2464,Mujeeb Ur Rahman,4,3,28.0,2,106,4,2/25,26.5,3.78,42.0,0,0,,Afghanistan,2019-03-01,2019-04-01
2465,Rashid Khan,4,3,25.0,0,107,4,2/22,26.75,4.28,37.5,0,0,,Afghanistan,2019-03-01,2019-04-01
2466,Mohammad Nabi,4,3,26.5,1,110,3,1/18,36.66,4.09,53.6,0,0,,Afghanistan,2019-03-01,2019-04-01
2467,Dawlat Zadran,1,1,10.0,1,52,2,2/52,26.0,5.2,30.0,0,0,,Afghanistan,2019-03-01,2019-04-01
2468,Zahir Khan,1,1,10.0,0,55,2,2/55,27.5,5.5,30.0,0,0,,Afghanistan,2019-03-01,2019-04-01
2469,Gulbadin Naib,2,1,6.0,0,21,1,1/21,21.0,3.5,36.0,0,0,,Afghanistan,2019-03-01,2019-04-01
2470,Samiullah Shinwari,2,1,10.0,0,60,1,1/60,60.0,6.0,60.0,0,0,,Afghanistan,2019-03-01,2019-04-01
2471,Shapoor Zadran,1,1,8.0,0,46,0,,,5.75,,0,0,,Afghanistan,2019-03-01,2019-04-01
2472,Asghar Afghan,4,,,,,,,,,,,,,Afghanistan,2019-03-01,2019-04-01
2473,Hashmatullah Shahidi,2,,,,,,,,,,,,,Afghanistan,2019-03-01,2019-04-01
2474,Hazratullah Zazai,3,,,,,,,,,,,,,Afghanistan,2019-03-01,2019-04-01
2475,Ikram Alikhil,2,,,,,,,,,,,,,Afghanistan,2019-03-01,2019-04-01
2476,Javed Ahmadi,2,,,,,,,,,,,,,Afghanistan,2019-03-01,2019-04-01
2477,Mohammad Shahzad,2,,,,,,,,,,,,,Afghanistan,2019-03-01,2019-04-01
2478,Najibullah Zadran,3,,,,,,,,,,,,,Afghanistan,2019-03-01,2019-04-01
2479,Noor Ali Zadran,1,,,,,,,,,,,,,Afghanistan,2019-03-01,2019-04-01
2480,Rahmat Shah,4,,,,,,,,,,,,,Afghanistan,2019-03-01,2019-04-01
2481,Sayed Shirzad,1,,,,,,,,,,,,,Afghanistan,2019-03-01,2019-04-01
2482,Imran Tahir,4,4,34.0,3,117,9,3/26,13.0,3.44,22.6,0,0,,South Africa,2019-03-01,2019-04-01
2483,L Ngidi,5,5,30.2,3,137,8,3/60,17.12,4.51,22.7,0,0,,South Africa,2019-03-01,2019-04-01
2484,A Nortje,4,4,31.3,1,150,8,3/57,18.75,4.76,23.6,0,0,,South Africa,2019-03-01,2019-04-01
2485,K Rabada,4,4,34.0,4,159,8,3/43,19.87,4.67,25.5,0,0,,South Africa,2019-03-01,2019-04-01
2486,AL Phehlukwayo,4,3,15.2,0,80,3,2/21,26.66,5.21,30.6,0,0,,South Africa,2019-03-01,2019-04-01
2487,T Shamsi,2,2,14.0,0,63,2,1/29,31.5,4.5,42.0,0,0,,South Africa,2019-03-01,2019-04-01
2488,JP Duminy,2,2,7.0,0,37,1,1/21,37.0,5.28,42.0,0,0,,South Africa,2019-03-01,2019-04-01
2489,DW Steyn,1,1,7.0,0,32,1,1/32,32.0,4.57,42.0,0,0,,South Africa,2019-03-01,2019-04-01
2490,PWA Mulder,2,2,6.0,0,33,0,,,5.5,,0,0,,South Africa,2019-03-01,2019-04-01
2491,D Pretorius,3,3,13.0,0,77,0,,,5.92,,0,0,,South Africa,2019-03-01,2019-04-01
2492,Q de Kock,5,,,,,,,,,,,,,South Africa,2019-03-01,2019-04-01
2493,F du Plessis,5,,,,,,,,,,,,,South Africa,2019-03-01,2019-04-01
2494,RR Hendricks,4,,,,,,,,,,,,,South Africa,2019-03-01,2019-04-01
2495,AK Markram,2,,,,,,,,,,,,,South Africa,2019-03-01,2019-04-01
2496,DA Miller,4,,,,,,,,,,,,,South Africa,2019-03-01,2019-04-01
2497,HE van der Dussen,4,,,,,,,,,,,,,South Africa,2019-03-01,2019-04-01
2498,Imad Wasim,6,4,37.0,0,236,6,3/53,39.33,6.37,37.0,0,0,,Pakistan,2019-05-01,2019-06-01
2499,Shaheen Shah Afridi,4,3,30.0,0,245,5,4/82,49.0,8.16,36.0,1,0,,Pakistan,2019-05-01,2019-06-01
2500,Hasan Ali,6,5,41.3,1,302,3,1/57,100.66,7.27,83.0,0,0,,Pakistan,2019-05-01,2019-06-01
2501,Mohammad Amir,2,1,6.0,0,26,3,3/26,8.66,4.33,12.0,0,0,,Pakistan,2019-05-01,2019-06-01
2502,Mohammad Hasnain,2,2,18.0,0,147,3,2/80,49.0,8.16,36.0,0,0,,Pakistan,2019-05-01,2019-06-01
2503,Junaid Khan,2,2,18.0,0,142,2,1/57,71.0,7.88,54.0,0,0,,Pakistan,2019-05-01,2019-06-01
2504,Faheem Ashraf,3,2,19.0,0,144,1,1/75,144.0,7.57,114.0,0,0,,Pakistan,2019-05-01,2019-06-01
2505,Shoaib Malik,2,2,6.0,0,33,1,1/4,33.0,5.5,36.0,0,0,,Pakistan,2019-05-01,2019-06-01
2506,Yasir Shah,1,1,7.0,0,60,1,1/60,60.0,8.57,42.0,0,0,,Pakistan,2019-05-01,2019-06-01
2507,Asif Ali,5,1,0.5,0,9,0,,,10.8,,0,0,,Pakistan,2019-05-01,2019-06-01
2508,Fakhar Zaman,6,1,4.0,0,23,0,,,5.75,,0,0,,Pakistan,2019-05-01,2019-06-01
2509,Haris Sohail,4,2,5.0,0,35,0,,,7.0,,0,0,,Pakistan,2019-05-01,2019-06-01
2510,Mohammad Hafeez,3,2,12.0,0,73,0,,,6.08,,0,0,,Pakistan,2019-05-01,2019-06-01
2511,Wahab Riaz,1,1,3.4,1,40,0,,,10.9,,0,0,,Pakistan,2019-05-01,2019-06-01
2512,Abid Ali,1,,,,,,,,,,,,,Pakistan,2019-05-01,2019-06-01
2513,Babar Azam,6,,,,,,,,,,,,,Pakistan,2019-05-01,2019-06-01
2514,Imam-ul-Haq,5,,,,,,,,,,,,,Pakistan,2019-05-01,2019-06-01
2515,Sarfaraz Ahmed,6,,,,,,,,,,,,,Pakistan,2019-05-01,2019-06-01
2516,Shadab Khan,1,,,,,,,,,,,,,Pakistan,2019-05-01,2019-06-01
2517,Mashrafe Mortaza,4,4,34.0,0,184,6,3/49,30.66,5.41,34.0,0,0,,Bangladesh,2019-05-01,2019-06-01
2518,Mustafizur Rahman,3,3,24.0,1,177,6,4/43,29.5,7.37,24.0,1,0,,Bangladesh,2019-05-01,2019-06-01
2519,Abu Jayed,2,2,18.0,0,114,5,5/58,22.8,6.33,21.6,0,1,,Bangladesh,2019-05-01,2019-06-01
2520,Mohammad Saifuddin,3,3,24.0,1,119,4,2/43,29.75,4.95,36.0,0,0,,Bangladesh,2019-05-01,2019-06-01
2521,Mehidy Hasan Miraz,3,3,24.0,0,101,3,1/22,33.66,4.2,48.0,0,0,,Bangladesh,2019-05-01,2019-06-01
2522,Shakib Al Hasan,3,3,29.0,1,125,2,1/27,62.5,4.31,87.0,0,0,,Bangladesh,2019-05-01,2019-06-01
2523,Rubel Hossain,1,1,7.0,2,41,1,1/41,41.0,5.85,42.0,0,0,,Bangladesh,2019-05-01,2019-06-01
2524,Mosaddek Hossain,2,2,10.0,0,41,0,,,4.1,,0,0,,Bangladesh,2019-05-01,2019-06-01
2525,Sabbir Rahman,4,1,2.0,0,12,0,,,6.0,,0,0,,Bangladesh,2019-05-01,2019-06-01
2526,Soumya Sarkar,3,1,2.0,0,15,0,,,7.5,,0,0,,Bangladesh,2019-05-01,2019-06-01
2527,Litton Das,1,,,,,,,,,,,,,Bangladesh,2019-05-01,2019-06-01
2528,Mahmudullah,4,,,,,,,,,,,,,Bangladesh,2019-05-01,2019-06-01
2529,Mohammad Mithun,3,,,,,,,,,,,,,Bangladesh,2019-05-01,2019-06-01
2530,Mushfiqur Rahim,4,,,,,,,,,,,,,Bangladesh,2019-05-01,2019-06-01
2531,Tamim Iqbal,4,,,,,,,,,,,,,Bangladesh,2019-05-01,2019-06-01
2532,LH Ferguson,1,1,6.2,0,22,3,3/22,7.33,3.47,12.6,0,0,,New Zealand,2019-05-01,2019-06-01
2533,MJ Henry,1,1,7.0,0,29,3,3/29,9.66,4.14,14.0,0,0,,New Zealand,2019-05-01,2019-06-01
2534,TA Boult,1,1,9.0,0,44,1,1/44,44.0,4.88,54.0,0,0,,New Zealand,2019-05-01,2019-06-01
2535,C de Grandhomme,1,1,2.0,0,14,1,1/14,14.0,7.0,12.0,0,0,,New Zealand,2019-05-01,2019-06-01
2536,JDS Neesham,1,1,3.0,0,21,1,1/21,21.0,7.0,18.0,0,0,,New Zealand,2019-05-01,2019-06-01
2537,MJ Santner,1,1,2.0,0,5,1,1/5,5.0,2.5,12.0,0,0,,New Zealand,2019-05-01,2019-06-01
2538,MJ Guptill,1,,,,,,,,,,,,,New Zealand,2019-05-01,2019-06-01
2539,TWM Latham,1,,,,,,,,,,,,,New Zealand,2019-05-01,2019-06-01
2540,C Munro,1,,,,,,,,,,,,,New Zealand,2019-05-01,2019-06-01
2541,LRPL Taylor,1,,,,,,,,,,,,,New Zealand,2019-05-01,2019-06-01
2542,KS Williamson,1,,,,,,,,,,,,,New Zealand,2019-05-01,2019-06-01
2543,LE Plunkett,5,5,36.0,0,218,10,4/35,21.8,6.05,21.6,1,0,,England,2019-05-01,2019-06-01
2544,CR Woakes,5,5,39.0,2,236,10,5/54,23.6,6.05,23.4,1,1,,England,2019-05-01,2019-06-01
2545,TK Curran,4,4,34.1,1,224,9,4/75,24.88,6.55,22.7,1,0,,England,2019-05-01,2019-06-01
2546,JC Archer,4,4,29.0,3,135,6,3/27,22.5,4.65,29.0,0,0,,England,2019-05-01,2019-06-01
2547,AU Rashid,6,6,42.5,0,249,5,2/54,49.8,5.81,51.4,0,0,,England,2019-05-01,2019-06-01
2548,DJ Willey,4,4,35.0,2,224,4,2/57,56.0,6.4,52.5,0,0,,England,2019-05-01,2019-06-01
2549,MM Ali,5,5,40.0,0,254,2,1/63,127.0,6.35,120.0,0,0,,England,2019-05-01,2019-06-01
2550,BA Stokes,6,6,19.5,0,124,2,2/12,62.0,6.25,59.5,0,0,,England,2019-05-01,2019-06-01
2551,MA Wood,1,1,10.0,0,71,2,2/71,35.5,7.1,30.0,0,0,,England,2019-05-01,2019-06-01
2552,JL Denly,4,3,11.0,0,60,1,1/24,60.0,5.45,66.0,0,0,,England,2019-05-01,2019-06-01
