,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,,Team,Start Date,End Date
98,Q de Kock,1,,,,,,,,,,,,,South Africa,2015-01-01,2015-02-01
99,AB de Villiers,4,,,,,,,,,,,,,South Africa,2015-01-01,2015-02-01
100,F du Plessis,5,,,,,,,,,,,,,South Africa,2015-01-01,2015-02-01
101,DA Miller,5,,,,,,,,,,,,,South Africa,2015-01-01,2015-02-01
102,RR Rossouw,5,,,,,,,,,,,,,South Africa,2015-01-01,2015-02-01
103,MN van Wyk,1,,,,,,,,,,,,,South Africa,2015-01-01,2015-02-01
104,R Ashwin,3,3,28.0,4,107,8,4/25,13.37,3.82,21.0,1,0,,India,2015-02-01,2015-03-01
105,Mohammed Shami,2,2,17.0,2,65,6,4/35,10.83,3.82,17.0,1,0,,India,2015-02-01,2015-03-01
106,MM Sharma,3,3,21.0,1,82,5,2/31,16.4,3.9,25.2,0,0,,India,2015-02-01,2015-03-01
107,RA Jadeja,3,3,23.2,0,116,4,2/23,29.0,4.97,35.0,0,0,,India,2015-02-01,2015-03-01
108,UT Yadav,3,3,22.3,2,99,4,2/15,24.75,4.4,33.7,0,0,,India,2015-02-01,2015-03-01
109,B Kumar,1,1,5.0,0,19,1,1/19,19.0,3.8,30.0,0,0,,India,2015-02-01,2015-03-01
110,SK Raina,3,2,2.0,0,9,0,,,4.5,,0,0,,India,2015-02-01,2015-03-01
111,S Dhawan,3,,,,,,,,,,,,,India,2015-02-01,2015-03-01
112,MS Dhoni,3,,,,,,,,,,,,,India,2015-02-01,2015-03-01
113,V Kohli,3,,,,,,,,,,,,,India,2015-02-01,2015-03-01
114,AM Rahane,3,,,,,,,,,,,,,India,2015-02-01,2015-03-01
115,RG Sharma,3,,,,,,,,,,,,,India,2015-02-01,2015-03-01
116,Mohammad Irfan,4,4,40.0,2,184,7,4/30,26.28,4.6,34.2,1,0,,Pakistan,2015-02-01,2015-03-01
117,Sohail Khan,3,3,30.0,1,173,6,5/55,28.83,5.76,30.0,0,1,,Pakistan,2015-02-01,2015-03-01
118,Wahab Riaz,3,3,29.4,1,161,6,4/45,26.83,5.42,29.6,1,0,,Pakistan,2015-02-01,2015-03-01
119,Haris Sohail,4,3,19.0,0,135,2,2/62,67.5,7.1,57.0,0,0,,Pakistan,2015-02-01,2015-03-01
120,Ahmed Shehzad,4,1,4.0,0,29,1,1/29,29.0,7.25,24.0,0,0,,Pakistan,2015-02-01,2015-03-01
121,Ehsan Adil,1,1,8.0,0,68,1,1/68,68.0,8.5,48.0,0,0,,Pakistan,2015-02-01,2015-03-01
122,Rahat Ali,1,1,10.0,0,37,1,1/37,37.0,3.7,60.0,0,0,,Pakistan,2015-02-01,2015-03-01
123,Shahid Afridi,4,4,38.0,1,208,1,1/57,208.0,5.47,228.0,0,0,,Pakistan,2015-02-01,2015-03-01
124,Bilawal Bhatti,1,1,10.0,0,93,0,,,9.3,,0,0,,Pakistan,2015-02-01,2015-03-01
125,Sohaib Maqsood,3,1,1.0,0,8,0,,,8.0,,0,0,,Pakistan,2015-02-01,2015-03-01
126,Yasir Shah,1,1,8.0,0,60,0,,,7.5,,0,0,,Pakistan,2015-02-01,2015-03-01
127,Younis Khan,3,1,2.0,0,17,0,,,8.5,,0,0,,Pakistan,2015-02-01,2015-03-01
128,Misbah-ul-Haq,4,,,,,,,,,,,,,Pakistan,2015-02-01,2015-03-01
129,Mohammad Hafeez,1,,,,,,,,,,,,,Pakistan,2015-02-01,2015-03-01
130,Nasir Jamshed,2,,,,,,,,,,,,,Pakistan,2015-02-01,2015-03-01
131,Sarfaraz Ahmed,1,,,,,,,,,,,,,Pakistan,2015-02-01,2015-03-01
132,Umar Akmal,4,,,,,,,,,,,,,Pakistan,2015-02-01,2015-03-01
