,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,,Team,Start Date,End Date
1236,Imran Tahir,2,,,,,,,,,,,,,,South Africa,2017-01-01,2017-02-01
1237,AL Phehlukwayo,2,,,,,,,,,,,,,,South Africa,2017-01-01,2017-02-01
1238,K Rabada,2,,,,,,,,,,,,,,South Africa,2017-01-01,2017-02-01
1239,LRPL Taylor,5,5,1,294,107,73.5,351,83.76,2,1,0,30,1,,New Zealand,2017-02-01,2017-03-01
1240,KS Williamson,5,5,0,208,69,41.6,234,88.88,0,2,0,18,3,,New Zealand,2017-02-01,2017-03-01
1241,MJ Guptill,1,1,1,180,180,,138,130.43,1,0,0,15,11,,New Zealand,2017-02-01,2017-03-01
1242,DG Brownlie,5,5,0,134,63,26.8,176,76.13,0,1,0,17,0,,New Zealand,2017-02-01,2017-03-01
1243,JDS Neesham,5,4,1,114,71,38.0,121,94.21,0,1,0,9,0,,New Zealand,2017-02-01,2017-03-01
1244,C de Grandhomme,4,2,2,68,34,,53,128.3,0,0,0,2,5,,New Zealand,2017-02-01,2017-03-01
1245,MJ Santner,5,3,1,56,38,28.0,69,81.15,0,0,0,5,2,,New Zealand,2017-02-01,2017-03-01
1246,TG Southee,5,3,1,39,24,19.5,27,144.44,0,0,0,4,2,,New Zealand,2017-02-01,2017-03-01
1247,NT Broom,4,4,0,12,8,3.0,28,42.85,0,0,1,0,0,,New Zealand,2017-02-01,2017-03-01
1248,TA Boult,5,2,1,5,4,5.0,16,31.25,0,0,0,0,0,,New Zealand,2017-02-01,2017-03-01
1249,LH Ferguson,2,2,0,4,4,2.0,14,28.57,0,0,1,0,0,,New Zealand,2017-02-01,2017-03-01
1250,C Munro,1,1,0,3,3,3.0,9,33.33,0,0,0,0,0,,New Zealand,2017-02-01,2017-03-01
1251,TWM Latham,4,4,0,2,2,0.5,32,6.25,0,0,3,0,0,,New Zealand,2017-02-01,2017-03-01
1252,L Ronchi,1,1,1,1,1,,1,100.0,0,0,0,0,0,,New Zealand,2017-02-01,2017-03-01
1253,JS Patel,1,,,,,,,,,,,,,,New Zealand,2017-02-01,2017-03-01
1254,IS Sodhi,2,,,,,,,,,,,,,,New Zealand,2017-02-01,2017-03-01
1255,AJ Finch,1,1,0,56,56,56.0,64,87.5,0,1,0,5,2,,Australia,2017-02-01,2017-03-01
1256,TM Head,1,1,0,53,53,53.0,72,73.61,0,1,0,5,0,,Australia,2017-02-01,2017-03-01
1257,MP Stoinis,1,1,0,42,42,42.0,48,87.5,0,0,0,4,1,,Australia,2017-02-01,2017-03-01
1258,MA Starc,1,1,1,29,29,,23,126.08,0,0,0,2,2,,Australia,2017-02-01,2017-03-01
1259,PJ Cummins,1,1,0,27,27,27.0,35,77.14,0,0,0,1,2,,Australia,2017-02-01,2017-03-01
1260,SE Marsh,1,1,0,22,22,22.0,22,100.0,0,0,0,4,0,,Australia,2017-02-01,2017-03-01
1261,JR Hazlewood,1,1,0,4,4,4.0,5,80.0,0,0,0,1,0,,Australia,2017-02-01,2017-03-01
1262,A Zampa,1,1,0,1,1,1.0,5,20.0,0,0,0,0,0,,Australia,2017-02-01,2017-03-01
1263,JP Faulkner,1,1,0,0,0,0.0,3,0.0,0,0,1,0,0,,Australia,2017-02-01,2017-03-01
1264,PSP Handscomb,1,1,0,0,0,0.0,2,0.0,0,0,1,0,0,,Australia,2017-02-01,2017-03-01
1265,GJ Maxwell,1,1,0,0,0,0.0,3,0.0,0,0,1,0,0,,Australia,2017-02-01,2017-03-01
1266,Rahmat Shah,5,5,0,145,53,29.0,233,62.23,0,2,0,7,0,,Afghanistan,2017-02-01,2017-03-01
1267,Asghar Afghan,5,5,0,124,50,24.8,161,77.01,0,1,0,7,3,,Afghanistan,2017-02-01,2017-03-01
1268,Mohammad Shahzad,5,5,0,121,64,24.2,160,75.62,0,1,0,13,1,,Afghanistan,2017-02-01,2017-03-01
1269,Mohammad Nabi,5,5,0,115,48,23.0,124,92.74,0,0,0,6,3,,Afghanistan,2017-02-01,2017-03-01
1270,Noor Ali Zadran,4,4,0,99,46,24.75,149,66.44,0,0,1,13,1,,Afghanistan,2017-02-01,2017-03-01
1271,Rashid Khan,5,5,0,66,32,13.2,60,110.0,0,0,0,5,2,,Afghanistan,2017-02-01,2017-03-01
1272,Samiullah Shinwari,3,3,0,60,29,20.0,117,51.28,0,0,0,3,0,,Afghanistan,2017-02-01,2017-03-01
1273,Najibullah Zadran,4,4,0,59,45,14.75,75,78.66,0,0,1,1,3,,Afghanistan,2017-02-01,2017-03-01
1274,Gulbadin Naib,5,5,0,38,16,7.6,81,46.91,0,0,0,3,0,,Afghanistan,2017-02-01,2017-03-01
1275,Hashmatullah Shahidi,3,3,1,35,21,17.5,65,53.84,0,0,0,2,0,,Afghanistan,2017-02-01,2017-03-01
1276,Dawlat Zadran,3,3,1,17,14,8.5,15,113.33,0,0,0,2,1,,Afghanistan,2017-02-01,2017-03-01
1277,Karim Janat,1,1,0,9,9,9.0,33,27.27,0,0,0,0,0,,Afghanistan,2017-02-01,2017-03-01
1278,Amir Hamza,4,4,3,2,2,2.0,9,22.22,0,0,0,0,0,,Afghanistan,2017-02-01,2017-03-01
1279,Fareed Ahmad,2,2,2,1,1,,6,16.66,0,0,0,0,0,,Afghanistan,2017-02-01,2017-03-01
1280,Ihsanullah,1,1,0,0,0,0.0,20,0.0,0,0,1,0,0,,Afghanistan,2017-02-01,2017-03-01
1281,F du Plessis,8,8,0,483,185,60.37,500,96.6,2,1,0,38,7,,South Africa,2017-02-01,2017-03-01
1282,Q de Kock,8,8,0,383,109,47.87,366,104.64,1,4,1,47,5,,South Africa,2017-02-01,2017-03-01
1283,AB de Villiers,8,8,3,380,85,76.0,359,105.84,0,4,0,27,4,,South Africa,2017-02-01,2017-03-01
1284,HM Amla,8,8,0,296,154,37.0,324,91.35,1,0,0,34,6,,South Africa,2017-02-01,2017-03-01
1285,DA Miller,4,4,1,149,117,49.66,148,100.67,1,0,0,6,6,,South Africa,2017-02-01,2017-03-01
1286,JP Duminy,8,8,1,145,34,20.71,216,67.12,0,0,0,10,0,,South Africa,2017-02-01,2017-03-01
1287,CH Morris,6,5,1,80,28,20.0,75,106.66,0,0,0,8,2,,South Africa,2017-02-01,2017-03-01
1288,D Pretorius,5,3,0,71,50,23.66,59,120.33,0,1,0,7,2,,South Africa,2017-02-01,2017-03-01
1289,F Behardien,4,3,1,68,36,34.0,41,165.85,0,0,1,5,3,,South Africa,2017-02-01,2017-03-01
1290,WD Parnell,6,6,3,68,35,22.66,52,130.76,0,0,1,4,3,,South Africa,2017-02-01,2017-03-01
1291,AL Phehlukwayo,6,3,3,59,29,,58,101.72,0,0,0,6,2,,South Africa,2017-02-01,2017-03-01
1292,Imran Tahir,8,1,1,0,0,,0,,0,0,0,0,0,,South Africa,2017-02-01,2017-03-01
1293,K Rabada,7,,,,,,,,,,,,,,South Africa,2017-02-01,2017-03-01
1294,T Shamsi,2,,,,,,,,,,,,,,South Africa,2017-02-01,2017-03-01
1295,Tamim Iqbal,3,2,0,131,127,65.5,148,88.51,1,0,0,16,1,,Bangladesh,2017-03-01,2017-04-01
1296,Shakib Al Hasan,3,2,0,126,72,63.0,133,94.73,0,2,0,11,1,,Bangladesh,2017-03-01,2017-04-01
1297,Sabbir Rahman,3,2,0,54,54,27.0,59,91.52,0,1,1,10,0,,Bangladesh,2017-03-01,2017-04-01
1298,Mehidy Hasan Miraz,3,1,0,51,51,51.0,71,71.83,0,1,0,6,0,,Bangladesh,2017-03-01,2017-04-01
1299,Soumya Sarkar,3,2,0,48,38,24.0,57,84.21,0,0,0,5,1,,Bangladesh,2017-03-01,2017-04-01
1300,Mosaddek Hossain,3,2,1,33,24,33.0,29,113.79,0,0,0,3,1,,Bangladesh,2017-03-01,2017-04-01
1301,Mahmudullah,3,2,1,20,13,20.0,16,125.0,0,0,0,1,1,,Bangladesh,2017-03-01,2017-04-01
1302,Mashrafe Mortaza,3,1,0,16,16,16.0,23,69.56,0,0,0,2,0,,Bangladesh,2017-03-01,2017-04-01
1303,Taskin Ahmed,3,1,0,14,14,14.0,27,51.85,0,0,0,1,0,,Bangladesh,2017-03-01,2017-04-01
1304,Mushfiqur Rahim,3,2,0,1,1,0.5,3,33.33,0,0,1,0,0,,Bangladesh,2017-03-01,2017-04-01
1305,Mustafizur Rahman,3,1,1,1,1,,1,100.0,0,0,0,0,0,,Bangladesh,2017-03-01,2017-04-01
1306,MJ Guptill,2,2,1,184,180,184.0,154,119.48,1,0,0,16,11,,New Zealand,2017-03-01,2017-04-01
1307,LRPL Taylor,2,2,0,74,66,37.0,109,67.88,0,1,0,8,1,,New Zealand,2017-03-01,2017-04-01
1308,C de Grandhomme,2,1,0,32,32,32.0,48,66.66,0,0,0,1,1,,New Zealand,2017-03-01,2017-04-01
1309,KS Williamson,2,2,0,30,21,15.0,40,75.0,0,0,0,4,0,,New Zealand,2017-03-01,2017-04-01
1310,DG Brownlie,2,2,0,28,24,14.0,47,59.57,0,0,0,4,0,,New Zealand,2017-03-01,2017-04-01
1311,JDS Neesham,2,1,0,24,24,24.0,24,100.0,0,0,0,4,1,,New Zealand,2017-03-01,2017-04-01
1312,MJ Santner,2,1,0,24,24,24.0,50,48.0,0,0,0,3,0,,New Zealand,2017-03-01,2017-04-01
1313,L Ronchi,2,2,1,9,8,9.0,21,42.85,0,0,0,1,0,,New Zealand,2017-03-01,2017-04-01
1314,TG Southee,2,1,0,6,6,6.0,7,85.71,0,0,0,0,1,,New Zealand,2017-03-01,2017-04-01
1315,TA Boult,2,1,1,0,0,,12,0.0,0,0,0,0,0,,New Zealand,2017-03-01,2017-04-01
1316,JS Patel,2,1,0,0,0,0.0,5,0.0,0,0,1,0,0,,New Zealand,2017-03-01,2017-04-01
1317,JE Root,3,3,1,195,101,97.5,240,81.25,1,1,0,13,0,,England,2017-03-01,2017-04-01
1318,EJG Morgan,3,3,0,125,107,41.66,143,87.41,1,0,0,11,3,,England,2017-03-01,2017-04-01
1319,AD Hales,1,1,0,110,110,110.0,107,102.8,1,0,0,9,5,,England,2017-03-01,2017-04-01
1320,BA Stokes,3,3,0,90,55,30.0,86,104.65,0,1,0,4,4,,England,2017-03-01,2017-04-01
1321,JJ Roy,3,3,0,82,52,27.33,89,92.13,0,1,0,11,1,,England,2017-03-01,2017-04-01
1322,CR Woakes,3,3,2,81,68,81.0,97,83.5,0,1,0,6,2,,England,2017-03-01,2017-04-01
1323,SW Billings,2,2,0,52,52,26.0,57,91.22,0,1,1,7,0,,England,2017-03-01,2017-04-01
1324,MM Ali,3,3,1,34,31,17.0,28,121.42,0,0,1,2,0,,England,2017-03-01,2017-04-01
1325,JC Buttler,3,3,0,21,14,7.0,31,67.74,0,0,1,0,1,,England,2017-03-01,2017-04-01
1326,LE Plunkett,3,1,0,11,11,11.0,9,122.22,0,0,0,0,1,,England,2017-03-01,2017-04-01
1327,AU Rashid,3,1,0,9,9,9.0,3,300.0,0,0,0,0,1,,England,2017-03-01,2017-04-01
1328,ST Finn,3,1,1,2,2,,2,100.0,0,0,0,0,0,,England,2017-03-01,2017-04-01
1329,Rahmat Shah,5,5,1,262,108,65.5,312,83.97,1,2,1,20,6,,Afghanistan,2017-03-01,2017-04-01
1330,Asghar Afghan,5,5,0,201,101,40.2,231,87.01,1,0,0,18,8,,Afghanistan,2017-03-01,2017-04-01
1331,Mohammad Shahzad,5,5,0,131,63,26.2,120,109.16,0,1,0,22,2,,Afghanistan,2017-03-01,2017-04-01
1332,Shafiqullah,4,3,1,127,50,63.5,87,145.97,0,1,0,14,6,,Afghanistan,2017-03-01,2017-04-01
1333,Samiullah Shinwari,4,4,1,126,62,42.0,168,75.0,0,1,0,7,3,,Afghanistan,2017-03-01,2017-04-01
1334,Mohammad Nabi,5,4,1,102,41,34.0,109,93.57,0,0,0,8,2,,Afghanistan,2017-03-01,2017-04-01
1335,Noor Ali Zadran,3,3,0,77,51,25.66,124,62.09,0,1,0,6,0,,Afghanistan,2017-03-01,2017-04-01
1336,Rashid Khan,5,3,0,62,56,20.66,55,112.72,0,1,1,5,3,,Afghanistan,2017-03-01,2017-04-01
1337,Gulbadin Naib,5,4,0,60,51,15.0,95,63.15,0,1,1,4,2,,Afghanistan,2017-03-01,2017-04-01
1338,Dawlat Zadran,5,4,3,59,41,59.0,74,79.72,0,0,0,3,2,,Afghanistan,2017-03-01,2017-04-01
1339,Hashmatullah Shahidi,2,2,0,55,32,27.5,77,71.42,0,0,0,7,0,,Afghanistan,2017-03-01,2017-04-01
1340,Amir Hamza,4,2,1,7,7,7.0,8,87.5,0,0,0,0,1,,Afghanistan,2017-03-01,2017-04-01
1341,Najeeb Tarakai,1,1,0,5,5,5.0,18,27.77,0,0,0,0,0,,Afghanistan,2017-03-01,2017-04-01
1342,Usman Ghani,1,1,0,3,3,3.0,16,18.75,0,0,0,0,0,,Afghanistan,2017-03-01,2017-04-01
1343,Fareed Ahmad,1,,,,,,,,,,,,,,Afghanistan,2017-03-01,2017-04-01
1344,F du Plessis,2,2,1,118,67,118.0,187,63.1,0,2,0,10,0,,South Africa,2017-03-01,2017-04-01
1345,AB de Villiers,2,2,1,95,72,95.0,80,118.75,0,1,0,6,5,,South Africa,2017-03-01,2017-04-01
1346,HM Amla,2,2,0,48,40,24.0,66,72.72,0,0,0,7,1,,South Africa,2017-03-01,2017-04-01
1347,DA Miller,2,2,1,46,45,46.0,39,117.94,0,0,0,6,2,,South Africa,2017-03-01,2017-04-01
1348,WD Parnell,1,1,0,29,29,29.0,12,241.66,0,0,0,2,2,,South Africa,2017-03-01,2017-04-01
1349,JP Duminy,2,2,0,28,25,14.0,51,54.9,0,0,0,1,0,,South Africa,2017-03-01,2017-04-01
1350,CH Morris,2,1,0,28,28,28.0,27,103.7,0,0,0,4,0,,South Africa,2017-03-01,2017-04-01
1351,D Pretorius,2,1,0,10,10,10.0,21,47.61,0,0,0,1,0,,South Africa,2017-03-01,2017-04-01
1352,Q de Kock,2,2,0,6,6,3.0,11,54.54,0,0,1,1,0,,South Africa,2017-03-01,2017-04-01
1353,Imran Tahir,2,,,,,,,,,,,,,,South Africa,2017-03-01,2017-04-01
1354,AL Phehlukwayo,1,,,,,,,,,,,,,,South Africa,2017-03-01,2017-04-01
1355,K Rabada,2,,,,,,,,,,,,,,South Africa,2017-03-01,2017-04-01
1356,Mohammad Hafeez,3,3,0,201,88,67.0,228,88.15,0,2,0,16,6,,Pakistan,2017-04-01,2017-05-01
1357,Shoaib Malik,3,3,1,163,101,81.5,166,98.19,1,1,0,16,4,,Pakistan,2017-04-01,2017-05-01
1358,Babar Azam,3,3,1,154,125,77.0,175,88.0,1,0,0,10,3,,Pakistan,2017-04-01,2017-05-01
1359,Ahmed Shehzad,3,3,0,75,67,25.0,112,66.96,0,1,0,6,0,,Pakistan,2017-04-01,2017-05-01
1360,Sarfaraz Ahmed,3,3,2,70,26,70.0,65,107.69,0,0,0,6,0,,Pakistan,2017-04-01,2017-05-01
1361,Kamran Akmal,3,3,0,68,47,22.66,76,89.47,0,0,1,7,3,,Pakistan,2017-04-01,2017-05-01
1362,Imad Wasim,3,2,2,49,43,,41,119.51,0,0,0,2,2,,Pakistan,2017-04-01,2017-05-01
1363,Hasan Ali,3,,,,,,,,,,,,,,Pakistan,2017-04-01,2017-05-01
1364,Junaid Khan,2,,,,,,,,,,,,,,Pakistan,2017-04-01,2017-05-01
1365,Mohammad Amir,3,,,,,,,,,,,,,,Pakistan,2017-04-01,2017-05-01
1366,Shadab Khan,3,,,,,,,,,,,,,,Pakistan,2017-04-01,2017-05-01
1367,Wahab Riaz,1,,,,,,,,,,,,,,Pakistan,2017-04-01,2017-05-01
1368,Shakib Al Hasan,1,1,0,54,54,54.0,62,87.09,0,1,0,7,0,,Bangladesh,2017-04-01,2017-05-01
1369,Mehidy Hasan Miraz,1,1,0,51,51,51.0,71,71.83,0,1,0,6,0,,Bangladesh,2017-04-01,2017-05-01
1370,Soumya Sarkar,1,1,0,38,38,38.0,44,86.36,0,0,0,3,1,,Bangladesh,2017-04-01,2017-05-01
1371,Mashrafe Mortaza,1,1,0,16,16,16.0,23,69.56,0,0,0,2,0,,Bangladesh,2017-04-01,2017-05-01
1372,Taskin Ahmed,1,1,0,14,14,14.0,27,51.85,0,0,0,1,0,,Bangladesh,2017-04-01,2017-05-01
1373,Mosaddek Hossain,1,1,0,9,9,9.0,20,45.0,0,0,0,0,0,,Bangladesh,2017-04-01,2017-05-01
1374,Mahmudullah,1,1,0,7,7,7.0,9,77.77,0,0,0,1,0,,Bangladesh,2017-04-01,2017-05-01
1375,Tamim Iqbal,1,1,0,4,4,4.0,6,66.66,0,0,0,1,0,,Bangladesh,2017-04-01,2017-05-01
1376,Mustafizur Rahman,1,1,1,1,1,,1,100.0,0,0,0,0,0,,Bangladesh,2017-04-01,2017-05-01
1377,Mushfiqur Rahim,1,1,0,0,0,0.0,1,0.0,0,0,1,0,0,,Bangladesh,2017-04-01,2017-05-01
1378,Sabbir Rahman,1,1,0,0,0,0.0,3,0.0,0,0,1,0,0,,Bangladesh,2017-04-01,2017-05-01
1379,Tamim Iqbal,5,5,1,327,128,81.75,406,80.54,1,2,0,35,4,,Bangladesh,2017-05-01,2017-06-01
1380,Mushfiqur Rahim,5,5,2,195,79,65.0,207,94.2,0,2,0,18,2,,Bangladesh,2017-05-01,2017-06-01
1381,Soumya Sarkar,5,5,1,181,87,45.25,177,102.25,0,2,1,21,3,,Bangladesh,2017-05-01,2017-06-01
1382,Mahmudullah,5,4,3,146,51,146.0,154,94.8,0,1,0,16,2,,Bangladesh,2017-05-01,2017-06-01
1383,Sabbir Rahman,5,5,0,125,65,25.0,139,89.92,0,1,1,15,1,,Bangladesh,2017-05-01,2017-06-01
1384,Mosaddek Hossain,5,3,1,53,41,26.5,57,92.98,0,0,0,6,0,,Bangladesh,2017-05-01,2017-06-01
1385,Shakib Al Hasan,5,4,0,49,19,12.25,70,70.0,0,0,0,7,0,,Bangladesh,2017-05-01,2017-06-01
1386,Imrul Kayes,1,1,0,19,19,19.0,20,95.0,0,0,0,3,0,,Bangladesh,2017-05-01,2017-06-01
1387,Mehidy Hasan Miraz,2,1,0,6,6,6.0,6,100.0,0,0,0,1,0,,Bangladesh,2017-05-01,2017-06-01
1388,Mashrafe Mortaza,4,1,0,1,1,1.0,3,33.33,0,0,0,0,0,,Bangladesh,2017-05-01,2017-06-01
1389,Mustafizur Rahman,5,1,1,0,0,,1,0.0,0,0,0,0,0,,Bangladesh,2017-05-01,2017-06-01
1390,Rubel Hossain,5,1,1,0,0,,0,,0,0,0,0,0,,Bangladesh,2017-05-01,2017-06-01
1391,Nasir Hossain,1,,,,,,,,,,,,,,Bangladesh,2017-05-01,2017-06-01
1392,Sunzamul Islam,1,,,,,,,,,,,,,,Bangladesh,2017-05-01,2017-06-01
1393,Taskin Ahmed,1,,,,,,,,,,,,,,Bangladesh,2017-05-01,2017-06-01
1394,TWM Latham,4,4,0,257,104,64.25,292,88.01,1,2,0,26,5,,New Zealand,2017-05-01,2017-06-01
1395,NT Broom,4,4,0,228,79,57.0,246,92.68,0,2,0,24,1,,New Zealand,2017-05-01,2017-06-01
1396,LRPL Taylor,4,4,1,194,60,64.66,220,88.18,0,3,0,18,0,,New Zealand,2017-05-01,2017-06-01
1397,L Ronchi,4,4,0,101,37,25.25,89,113.48,0,0,0,18,1,,New Zealand,2017-05-01,2017-06-01
1398,JDS Neesham,3,3,0,88,52,29.33,87,101.14,0,1,0,7,1,,New Zealand,2017-05-01,2017-06-01
1399,GH Worker,2,2,0,67,50,33.5,113,59.29,0,1,0,3,1,,New Zealand,2017-05-01,2017-06-01
1400,C Munro,4,4,1,61,44,20.33,32,190.62,0,0,1,5,4,,New Zealand,2017-05-01,2017-06-01
1401,CJ Anderson,2,2,0,44,24,22.0,56,78.57,0,0,0,3,1,,New Zealand,2017-05-01,2017-06-01
1402,MJ Santner,4,4,3,26,20,26.0,19,136.84,0,0,1,3,1,,New Zealand,2017-05-01,2017-06-01
1403,SC Kuggeleijn,2,1,1,11,11,,6,183.33,0,0,0,1,0,,New Zealand,2017-05-01,2017-06-01
1404,AF Milne,1,1,1,10,10,,6,166.66,0,0,0,1,0,,New Zealand,2017-05-01,2017-06-01
1405,JS Patel,1,1,1,7,7,,7,100.0,0,0,0,0,0,,New Zealand,2017-05-01,2017-06-01
1406,MJ Henry,2,1,0,5,5,5.0,14,35.71,0,0,0,0,0,,New Zealand,2017-05-01,2017-06-01
1407,HK Bennett,2,,,,,,,,,,,,,,New Zealand,2017-05-01,2017-06-01
1408,SHA Rance,2,,,,,,,,,,,,,,New Zealand,2017-05-01,2017-06-01
1409,IS Sodhi,3,,,,,,,,,,,,,,New Zealand,2017-05-01,2017-06-01
1410,JE Root,6,6,2,333,133,83.25,351,94.87,1,1,0,34,1,,England,2017-05-01,2017-06-01
1411,EJG Morgan,6,6,1,321,107,64.2,322,99.68,1,2,0,27,9,,England,2017-05-01,2017-06-01
1412,AD Hales,6,6,0,268,95,44.66,250,107.2,0,3,0,37,4,,England,2017-05-01,2017-06-01
1413,JM Bairstow,3,3,2,133,72,133.0,126,105.55,0,2,0,16,3,,England,2017-05-01,2017-06-01
1414,BA Stokes,3,2,0,126,101,63.0,109,115.59,1,0,0,11,4,,England,2017-05-01,2017-06-01
1415,MM Ali,3,2,1,110,77,110.0,70,157.14,0,1,0,10,5,,England,2017-05-01,2017-06-01
1416,JC Buttler,4,3,1,76,65,38.0,64,118.75,0,1,0,9,0,,England,2017-05-01,2017-06-01
1417,AU Rashid,5,2,0,39,39,19.5,26,150.0,0,0,1,5,0,,England,2017-05-01,2017-06-01
1418,TS Roland-Jones,1,1,1,37,37,,37,100.0,0,0,0,5,1,,England,2017-05-01,2017-06-01
1419,JJ Roy,6,6,0,34,20,5.66,73,46.57,0,0,1,5,0,,England,2017-05-01,2017-06-01
1420,DJ Willey,3,2,1,27,26,27.0,40,67.5,0,0,0,3,0,,England,2017-05-01,2017-06-01
1421,JT Ball,5,1,0,7,7,7.0,9,77.77,0,0,0,1,0,,England,2017-05-01,2017-06-01
1422,SW Billings,2,1,0,7,7,7.0,10,70.0,0,0,0,1,0,,England,2017-05-01,2017-06-01
1423,CR Woakes,2,1,1,6,6,,6,100.0,0,0,0,0,0,,England,2017-05-01,2017-06-01
1424,ST Finn,1,1,0,3,3,3.0,5,60.0,0,0,0,0,0,,England,2017-05-01,2017-06-01
1425,LE Plunkett,5,,,,,,,,,,,,,,England,2017-05-01,2017-06-01
1426,MA Wood,5,,,,,,,,,,,,,,England,2017-05-01,2017-06-01
1427,HM Amla,3,3,0,152,73,50.66,159,95.59,0,2,0,22,0,,South Africa,2017-05-01,2017-06-01
1428,Q de Kock,3,3,0,137,98,45.66,155,88.38,0,1,0,15,0,,South Africa,2017-05-01,2017-06-01
1429,AB de Villiers,3,3,1,124,52,62.0,118,105.08,0,1,0,18,0,,South Africa,2017-05-01,2017-06-01
1430,F du Plessis,3,3,0,88,67,29.33,88,100.0,0,1,0,11,0,,South Africa,2017-05-01,2017-06-01
1431,DA Miller,3,2,1,82,71,82.0,61,134.42,0,1,0,5,3,,South Africa,2017-05-01,2017-06-01
1432,JP Duminy,2,2,1,43,28,43.0,61,70.49,0,0,0,4,0,,South Africa,2017-05-01,2017-06-01
1433,CH Morris,3,2,1,40,35,40.0,26,153.84,0,0,0,4,2,,South Africa,2017-05-01,2017-06-01
1434,WD Parnell,2,1,0,19,19,19.0,23,82.6,0,0,0,2,0,,South Africa,2017-05-01,2017-06-01
1435,K Rabada,3,1,0,19,19,19.0,21,90.47,0,0,0,1,1,,South Africa,2017-05-01,2017-06-01
1436,F Behardien,1,1,0,17,17,17.0,25,68.0,0,0,0,0,0,,South Africa,2017-05-01,2017-06-01
1437,AL Phehlukwayo,2,1,0,4,4,4.0,6,66.66,0,0,0,1,0,,South Africa,2017-05-01,2017-06-01
1438,Imran Tahir,1,1,1,0,0,,0,,0,0,0,0,0,,South Africa,2017-05-01,2017-06-01
1439,KA Maharaj,2,,,,,,,,,,,,,,South Africa,2017-05-01,2017-06-01
1440,M Morkel,1,,,,,,,,,,,,,,South Africa,2017-05-01,2017-06-01
1441,D Pretorius,1,,,,,,,,,,,,,,South Africa,2017-05-01,2017-06-01
1442,S Dhawan,8,8,0,490,125,61.25,489,100.2,1,4,0,62,6,,India,2017-06-01,2017-07-01
1443,V Kohli,8,8,4,388,96,97.0,396,97.97,0,4,1,33,8,,India,2017-06-01,2017-07-01
1444,RG Sharma,5,5,1,304,123,76.0,350,86.85,1,2,1,29,7,,India,2017-06-01,2017-07-01
1445,AM Rahane,3,3,0,237,103,79.0,294,80.61,1,2,0,22,3,,India,2017-06-01,2017-07-01
1446,MS Dhoni,8,5,3,167,78,83.5,169,98.81,0,2,0,13,4,,India,2017-06-01,2017-07-01
1447,Yuvraj Singh,8,7,1,162,53,27.0,181,89.5,0,1,0,18,2,,India,2017-06-01,2017-07-01
1448,HH Pandya,8,4,1,109,76,36.33,59,184.74,0,1,0,4,10,,India,2017-06-01,2017-07-01
1449,KM Jadhav,8,4,3,87,40,87.0,58,150.0,0,0,0,11,2,,India,2017-06-01,2017-07-01
1450,RA Jadeja,5,2,1,15,15,15.0,26,57.69,0,0,0,0,0,,India,2017-06-01,2017-07-01
1451,R Ashwin,6,1,0,1,1,1.0,3,33.33,0,0,0,0,0,,India,2017-06-01,2017-07-01
1452,JJ Bumrah,5,1,0,1,1,1.0,9,11.11,0,0,0,0,0,,India,2017-06-01,2017-07-01
1453,B Kumar,8,1,1,1,1,,8,12.5,0,0,0,0,0,,India,2017-06-01,2017-07-01
1454,Kuldeep Yadav,3,,,,,,,,,,,,,,India,2017-06-01,2017-07-01
1455,UT Yadav,5,,,,,,,,,,,,,,India,2017-06-01,2017-07-01
1456,Fakhar Zaman,4,4,0,252,114,63.0,223,113.0,1,2,0,33,5,,Pakistan,2017-06-01,2017-07-01
1457,Azhar Ali,5,5,0,228,76,45.6,308,74.02,0,3,0,20,3,,Pakistan,2017-06-01,2017-07-01
1458,Mohammad Hafeez,5,5,2,148,57,49.33,159,93.08,0,1,0,10,6,,Pakistan,2017-06-01,2017-07-01
1459,Babar Azam,5,5,2,133,46,44.33,178,74.71,0,0,0,12,1,,Pakistan,2017-06-01,2017-07-01
1460,Sarfaraz Ahmed,5,2,1,76,61,76.0,95,80.0,0,1,0,7,0,,Pakistan,2017-06-01,2017-07-01
1461,Shoaib Malik,5,4,1,54,16,18.0,59,91.52,0,0,0,6,2,,Pakistan,2017-06-01,2017-07-01
1462,Mohammad Amir,4,2,1,37,28,37.0,59,62.71,0,0,0,1,0,,Pakistan,2017-06-01,2017-07-01
1463,Imad Wasim,5,3,1,29,25,14.5,25,116.0,0,0,1,2,1,,Pakistan,2017-06-01,2017-07-01
1464,Faheem Ashraf,1,1,0,15,15,15.0,15,100.0,0,0,0,1,1,,Pakistan,2017-06-01,2017-07-01
1465,Shadab Khan,4,1,1,14,14,,16,87.5,0,0,0,1,1,,Pakistan,2017-06-01,2017-07-01
1466,Ahmed Shehzad,1,1,0,12,12,12.0,22,54.54,0,0,0,1,0,,Pakistan,2017-06-01,2017-07-01
1467,Hasan Ali,5,1,0,0,0,0.0,2,0.0,0,0,1,0,0,,Pakistan,2017-06-01,2017-07-01
1468,Junaid Khan,4,,,,,,,,,,,,,,Pakistan,2017-06-01,2017-07-01
1469,Rumman Raees,1,,,,,,,,,,,,,,Pakistan,2017-06-01,2017-07-01
1470,Wahab Riaz,1,,,,,,,,,,,,,,Pakistan,2017-06-01,2017-07-01
