Player,Batting Form,Bowling Form,Fielding Form,Credits,Player Type,Team
Tayyab Tahir,63.02521008403361,44.28571428571429,35.0,6.5,BAT,Pakistan
Temba Bavuma,70.29411764705883,44.28571428571429,46.76470588235294,8.0,BAT,South Africa
Tom Banton,62.142857142857146,44.28571428571429,52.01680672268907,6.5,BAT,England
Tom Latham,75.54621848739497,44.28571428571429,95.29411764705883,7.5,WK,New Zealand
Tony de Zorzi,67.43697478991598,44.28571428571429,25.546218487394956,6.5,BAT,South Africa
Travis Head,79.03361344537815,54.957983193277315,33.739495798319325,9.0,BAT,Australia
Tristan Stubbs,64.03361344537815,39.66386554621849,44.03361344537815,7.5,BAT,South Africa
Varun Chakravarthy,2.899159663865546,38.235294117647065,25.546218487394956,7.0,BOWL,India
Virat Kohli,80.25210084033614,48.8235294117647,69.87394957983193,9.0,BAT,India
Washington Sundar,43.82352941176471,44.36974789915966,33.319327731092436,6.0,ALL,India
Wiaan Mulder,57.77310924369748,48.23529411764706,57.689075630252105,7.0,ALL,South Africa
Will Young,80.88235294117648,44.28571428571429,66.5126050420168,7.0,BAT,New Zealand
William O'Rourke,4.53781512605042,71.9327731092437,32.47899159663865,7.0,BOWL,New Zealand
